controller,rtt_ms,loss_pct,rate_mbps,cwnd,inflight,bodies,queue_bytes,dropped
CUBIC-like (loss-based),206.5,0.0,0.546,120000,21153,1000,14102,0
CUBIC-like (loss-based),202.0,0.0,0.554,125000,21153,1000,14102,0
CUBIC-like (loss-based),197.8,0.0,0.563,130000,21153,1000,14102,0
CUBIC-like (loss-based),212.2,0.0,0.507,134500,21153,1000,14102,0
CUBIC-like (loss-based),213.9,0.0,0.522,139500,21153,1000,14102,0
CUBIC-like (loss-based),210.2,0.0,0.538,144500,21153,1000,14102,0
CUBIC-like (loss-based),204.6,0.0,0.555,149500,21153,1000,14102,0
CUBIC-like (loss-based),201.4,0.0,0.563,154500,21153,1000,14102,0
CUBIC-like (loss-based),206.1,0.0,0.554,159500,21153,1000,14102,0
CUBIC-like (loss-based),214.7,0.0,0.507,164000,21153,1000,14102,0
CUBIC-like (loss-based),200.2,0.0,0.575,169500,21153,1000,14102,0
CUBIC-like (loss-based),205.5,0.0,0.554,174500,21153,1000,14102,0
CUBIC-like (loss-based),204.8,0.0,0.546,179500,21153,1000,14102,0
CUBIC-like (loss-based),208.4,0.0,0.53,184500,21153,1000,14102,0
CUBIC-like (loss-based),206.6,0.0,0.546,189500,21153,1000,14102,0
CUBIC-like (loss-based),202.3,0.0,0.563,194500,21153,1000,14102,0
CUBIC-like (loss-based),218.4,0.0,0.507,199000,21153,1000,14102,0
CUBIC-like (loss-based),210.9,0.0,0.53,204000,21153,1000,14102,0
CUBIC-like (loss-based),205.7,0.0,0.563,209000,21153,1000,14102,0
CUBIC-like (loss-based),213.8,0.0,0.515,214000,21153,1000,14102,0
CUBIC-like (loss-based),200.3,0.0,0.575,219500,21153,1000,14102,0
CUBIC-like (loss-based),206.6,0.0,0.546,224500,21153,1000,14102,0
CUBIC-like (loss-based),203.7,0.0,0.546,229500,21153,1000,14102,0
CUBIC-like (loss-based),214.8,0.0,0.522,234500,21153,1000,14102,0
CUBIC-like (loss-based),209.7,0.0,0.538,239500,21153,1000,14102,0
CUBIC-like (loss-based),216.7,0.0,0.53,244500,21153,1000,14102,0
CUBIC-like (loss-based),212.2,0.0,0.538,249500,21153,1000,14102,0
CUBIC-like (loss-based),211.1,0.0,0.546,254500,21153,1000,14102,0
CUBIC-like (loss-based),197.3,0.0,0.563,259500,21153,1000,14102,0
CUBIC-like (loss-based),206.0,0.0,0.563,264500,21153,1000,14102,0
CUBIC-like (loss-based),199.9,0.0,0.554,269500,21153,1000,14102,0
CUBIC-like (loss-based),207.0,0.0,0.538,274500,21153,1000,14102,0
CUBIC-like (loss-based),202.2,0.0,0.575,280000,21153,1000,14102,0
CUBIC-like (loss-based),206.5,0.0,0.546,285000,21153,1000,14102,0
CUBIC-like (loss-based),207.3,0.0,0.538,290000,21153,1000,14102,0
CUBIC-like (loss-based),208.3,0.0,0.538,295000,21153,1000,14102,0
CUBIC-like (loss-based),198.6,0.0,0.567,300500,21153,1000,14102,0
CUBIC-like (loss-based),202.7,0.0,0.546,305500,21153,1000,14102,0
CUBIC-like (loss-based),200.6,0.0,0.563,310500,21153,1000,14102,0
CUBIC-like (loss-based),208.5,0.0,0.53,315500,21153,1000,14102,0
CUBIC-like (loss-based),210.4,0.0,0.53,320500,21153,1000,14102,0
CUBIC-like (loss-based),207.0,0.0,0.555,325500,21153,1000,14102,0
CUBIC-like (loss-based),200.4,0.0,0.563,330500,21153,1000,14102,0
CUBIC-like (loss-based),208.0,0.0,0.522,335500,21153,1000,14102,0
CUBIC-like (loss-based),206.2,0.0,0.563,340500,21153,1000,14102,0
CUBIC-like (loss-based),205.9,0.0,0.53,345500,21153,1000,14102,0
CUBIC-like (loss-based),206.7,0.0,0.546,350500,21153,1000,14102,0
CUBIC-like (loss-based),198.2,0.0,0.583,356000,21153,1000,14102,0
CUBIC-like (loss-based),200.7,0.0,0.546,361000,21153,1000,14102,0
CUBIC-like (loss-based),207.5,0.0,0.53,366000,21153,1000,14102,0
CUBIC-like (loss-based),203.5,0.0,0.554,371000,21153,1000,14102,0
CUBIC-like (loss-based),203.9,0.0,0.554,376000,21153,1000,14102,0
CUBIC-like (loss-based),205.0,0.0,0.555,381000,21153,1000,14102,0
CUBIC-like (loss-based),199.5,0.0,0.575,386500,21153,1000,14102,0
CUBIC-like (loss-based),209.9,0.0,0.515,391500,21153,1000,14102,0
CUBIC-like (loss-based),197.0,0.0,0.583,397000,21153,1000,14102,0
CUBIC-like (loss-based),210.2,0.0,0.53,402000,21153,1000,14102,0
CUBIC-like (loss-based),197.2,0.0,0.592,407500,21153,1000,14102,0
CUBIC-like (loss-based),200.0,0.0,0.563,412500,21153,1000,14102,0
CUBIC-like (loss-based),200.4,0.0,0.554,417500,21153,1000,14102,0
CUBIC-like (loss-based),196.9,0.0,0.567,423000,21153,1000,14102,0
CUBIC-like (loss-based),203.4,0.0,0.554,428000,21153,1000,14102,0
CUBIC-like (loss-based),209.7,0.0,0.522,433000,21153,1000,14102,0
CUBIC-like (loss-based),201.2,0.0,0.583,438500,21153,1000,14102,0
CUBIC-like (loss-based),199.9,0.0,0.555,443500,21153,1000,14102,0
